CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,PostalCode,Country,JoinDate,PreferredContactMethod
1,Kathleen,Rivera,kevin07@gmail.com,(565)027-4570x891,634 Johnny Dale,Morganton,MO,84371,Canada,2023-11-04,Email
2,Brittney,Mcgee,zmoss@gmail.com,702.747.4321x03554,78185 Shaw Hollow Suite 168,North Pamela,ND,96283,UK,2024-06-03,Phone
3,Rebekah,Bass,davidmoore@kidd-kelly.com,8431085139,1219 Andrew Alley,North Karen,AZ,42284,Japan,2023-12-01,Mail
4,Sarah,Parker,andrea37@baker.com,001-444-584-4319x897,9142 Daniel Courts,Mcdonaldberg,SC,9842,Italy,2024-03-04,Phone
5,Nicholas,Bennett,emejia@green.com,+1-191-773-9723,40893 Gordon River,New Steven,PA,58485,India,2023-10-30,Phone
6,Jesse,Sharp,barajasandrea@galvan.net,745-320-2232,55928 Andrew Estate Apt. 786,Lake Margaretfurt,NM,47136,South Africa,2024-05-23,Email
7,Lisa,Kent,djames@yahoo.com,2951435286,964 Robbins Circle,West Brianborough,AL,40339,Japan,2024-07-11,Phone
8,Lisa,Freeman,adamsevan@hotmail.com,(816)169-1238x73927,89674 Brian Prairie,North Davidbury,NM,99526,Germany,2023-11-20,Mail
9,Ryan,Hahn,robin43@gmail.com,2694553167,21945 Scott Dale Suite 109,Lake Anthony,WY,68870,India,2023-10-13,Mail
10,Kimberly,White,kenneth68@hall.com,6465466713,51970 Miller Manor,Kimberlyport,TN,81434,India,2023-12-18,Phone
11,William,Delacruz,ygarcia@yahoo.com,+1-746-667-5663x6165,7421 Adams Estate Suite 640,East Joseph,MO,95392,Brazil,2024-05-11,Email
12,Heidi,Thomas,millerjonathon@schroeder-ward.com,657-431-0971,2657 Renee Meadow Suite 058,Meghanberg,CO,19309,India,2024-03-06,Mail
13,Cynthia,Reed,zhernandez@james.com,001-561-321-2076x916,9884 Lisa Gateway Apt. 441,Christinaburgh,RI,42992,UK,2023-09-01,Mail
14,Christian,Baldwin,jamesshepard@pierce-thomas.info,689-409-1776x774,49519 Richard Street,South Rachel,ND,50719,France,2024-02-18,Mail
15,Patricia,Miller,dnash@lynch-contreras.com,+1-429-733-6739x9959,4342 Jimenez Brooks,Michelleshire,NY,89033,UK,2024-02-10,Mail
16,Barbara,Kline,nguyenmary@yahoo.com,+1-688-884-1147x8053,93445 Matthews Mills Apt. 963,Port Timothy,FL,53009,Canada,2023-12-23,Mail
17,Jeremiah,Spencer,riveraeric@hotmail.com,570.736.5817,4561 Smith Keys Apt. 405,Lynnfort,TX,95878,Italy,2024-08-03,Mail
18,Lauren,Smith,jessicamason@yahoo.com,(012)566-0284x038,335 Mckenzie Ferry Suite 415,Davidhaven,HI,91143,UK,2024-04-29,Mail
19,Patricia,Ballard,ybrown@vasquez-williams.com,+1-095-266-3367x91842,9344 Ashlee Underpass Suite 194,Reedchester,NJ,68150,UK,2023-09-06,Email
20,Spencer,Rogers,dicksonvanessa@gmail.com,(208)416-1506x0508,0801 Wilson Tunnel,North Shannon,OK,56026,Japan,2024-06-02,Email
21,Randy,Walsh,nriddle@yahoo.com,(100)351-8522x0224,826 Brittany Keys,Haleyton,HI,58061,Japan,2023-12-05,Mail
22,Matthew,Gonzales,gobrien@murray-grant.com,612.779.0100x125,626 Wilson View,East Normaburgh,WY,56326,South Africa,2024-03-03,Email
23,Marie,Coleman,elijahstevens@yahoo.com,001-427-096-6126x305,48495 Amber Forge Suite 903,Evansport,UT,45112,UK,2024-03-22,Phone
24,Phillip,Gonzalez,perezkirsten@hotmail.com,001-810-808-0381,143 King Lakes Suite 126,New Danielleland,WA,56040,Canada,2024-05-05,Mail
25,Erika,Rogers,jacob45@yahoo.com,(042)972-7894,7097 James Fall,Port Lisaview,NH,59133,Italy,2024-06-08,Phone
26,Laura,Hall,heather09@scott-johnson.com,6964439599,9552 Williams Streets Suite 715,New Jamie,IA,95544,Japan,2024-08-07,Phone
27,Aimee,Simmons,joseph80@hotmail.com,4007427503,8254 Scott Manors,Danielchester,NJ,88557,Australia,2024-01-10,Mail
28,William,Bishop,vyates@yahoo.com,479.213.5882x722,125 Kylie Alley,Rossview,OH,78596,Canada,2024-05-23,Phone
29,Paul,Costa,angelawilliams@gmail.com,170-968-6591x3165,0171 Smith Hill Apt. 634,Lake Jeremyton,AR,55473,France,2024-06-20,Email
30,Gregory,Lee,deborahcharles@crosby-scott.net,(585)731-8018,179 Curtis Meadow Apt. 247,Port Erika,VT,56934,Canada,2024-01-23,Mail
31,Richard,Jennings,vstephens@hotmail.com,(692)372-2021x19046,21854 Kyle Center,Rebeccaborough,KY,30924,South Africa,2024-03-20,Email
32,Brandon,Gonzalez,mayofelicia@hotmail.com,285.824.7507,724 David Grove Apt. 996,North Ericport,NJ,13998,Australia,2023-09-24,Phone
33,Joel,Delgado,yedwards@gmail.com,687-272-0401x7319,042 Jacob Hills Apt. 774,Watkinsborough,AK,80785,Canada,2024-04-16,Phone
34,Lindsey,White,yjohns@gmail.com,(828)253-0703x5111,71026 Jones Plaza Apt. 142,Craigtown,KY,67433,India,2023-10-26,Phone
35,Harold,Peters,phillipsmark@lynn.com,(488)697-4020,739 Terry Forest Apt. 822,Salazarton,IL,4889,Japan,2024-05-09,Phone
36,Ashley,Hanna,lisajohnson@hess.com,001-219-058-2859,71943 Shelby Inlet Suite 977,Martinstad,NM,89310,Japan,2024-06-02,Phone
37,Ryan,Holmes,nicholsmarvin@ponce.biz,(829)581-4952x4823,4324 Higgins Lock,Rebeccafurt,MN,81695,France,2024-07-15,Email
38,Stephanie,Turner,sethmcgee@smith.com,418-187-6275,616 Williams Point Suite 923,Chandlerport,MT,83382,Canada,2024-01-06,Mail
39,Michael,Benson,jenniferhart@wallace.com,240-868-7474x295,537 Roy Mission,Phillipberg,MD,69987,South Africa,2024-08-12,Phone
40,Crystal,Lewis,seansalinas@gmail.com,214.044.4306x575,8771 Stanley Grove,Reneetown,IL,56009,India,2024-01-17,Mail
41,Meredith,Hawkins,spencermarissa@gmail.com,5189658810,1600 Smith Gateway Suite 214,Lake Calebstad,SC,26847,Australia,2024-07-17,Email
42,Brian,Campbell,nscott@barker.com,(301)217-1116,677 Lynch Rue,Rachelbury,KY,91161,Australia,2024-03-21,Phone
43,Kevin,Smith,samuel32@marquez-collins.com,974-269-1255,545 Sara Gardens,Adamsburgh,NC,55296,France,2024-04-26,Phone
44,David,Schultz,fwiley@gmail.com,(892)880-5196,092 Joseph Ranch,West Nicholasmouth,IN,99809,Brazil,2024-02-28,Phone
45,Mark,Yates,kelly26@aguilar.com,477-143-5207,19412 Allen Keys,Murphyland,AL,24932,South Africa,2024-06-06,Phone
46,Steven,Shaw,jennifervaldez@skinner-patel.info,140-464-3001x1318,8601 Coleman Gateway Suite 509,Lake Timothy,ID,25231,France,2024-07-11,Email
47,Phyllis,Rivera,samuel47@hotmail.com,336.805.4484x6430,578 Russell Square Suite 675,East Kimberlyport,GA,34367,Germany,2023-09-13,Email
48,Jenny,Russell,uwilliams@shaw.com,001-000-174-2217,03773 Smith Oval,Lake Donald,IN,36161,Italy,2023-08-22,Email
49,William,Frank,scott05@carr.net,001-137-584-8149x23270,73385 Jennifer Drive Apt. 162,West Jamesport,AK,55680,India,2024-06-14,Email
50,Mikayla,Hughes,brittany40@yahoo.com,+1-620-164-7111x61219,07059 Taylor Harbors Suite 081,Port Christopher,ME,42039,Australia,2024-07-19,Phone
51,Anthony,Smith,kimberlyacevedo@becker-stokes.com,4010127905,7169 Wong Isle,Meganmouth,MT,50950,Japan,2024-06-02,Email
52,Jessica,Dennis,myang@castro-mata.com,(725)606-3556x222,7938 Rodgers Spurs,East Glenn,OR,5357,Japan,2024-01-08,Mail
53,Jamie,Rodriguez,ythompson@hotmail.com,391-840-0958,32941 Brown Ville Apt. 686,West Alexandrachester,CA,31547,France,2023-12-15,Phone
54,Robert,Sanford,omarfranklin@jones.com,988.379.7265,661 Nathaniel Locks,West Brendaburgh,MT,31258,Canada,2024-01-03,Mail
